replica,escenario,origen,destino,base,cerrado
0,base,z10,z10,319.82756010010513,319.82756010010513
0,base,z10,z15,793.307972954615,793.307972954615
0,base,z10,z16,828.1282318414379,828.1282318414379
0,base,z15,z10,867.8504925299706,867.8504925299706
0,base,z15,z15,251.85144745392694,251.85144745392694
0,base,z15,z16,242.42578057335504,242.42578057335504
0,base,z16,z10,954.3561163776299,954.3561163776299
0,base,z16,z15,279.87838943869457,279.87838943869457
0,base,z16,z16,311.9523441361312,311.9523441361312
0,vista_hermosa,z10,z10,319.82756010010513,319.8336554731394
0,vista_hermosa,z10,z15,793.307972954615,1416.886619663159
0,vista_hermosa,z10,z16,828.1282318414379,1277.185233958168
0,vista_hermosa,z15,z10,867.8504925299706,1213.1564682035241
0,vista_hermosa,z15,z15,251.85144745392694,255.30658137186936
0,vista_hermosa,z15,z16,242.42578057335504,243.03071052590965
0,vista_hermosa,z16,z10,954.3561163776299,1217.5829082543733
0,vista_hermosa,z16,z15,279.87838943869457,281.0397037430453
0,vista_hermosa,z16,z16,311.9523441361312,312.1316843946096
0,reforma,z10,z10,319.82756010010513,315.2740224878004
0,reforma,z10,z15,793.307972954615,781.250793302801
0,reforma,z10,z16,828.1282318414379,821.9866640623788
0,reforma,z15,z10,867.8504925299706,859.3688244595423
0,reforma,z15,z15,251.85144745392694,251.85144745392694
0,reforma,z15,z16,242.42578057335504,242.42578057335504
0,reforma,z16,z10,954.3561163776299,944.7764230041814
0,reforma,z16,z15,279.87838943869457,279.87838943869457
0,reforma,z16,z16,311.9523441361312,311.9523441361312
1,base,z10,z10,309.90198629907553,309.90198629907553
1,base,z10,z15,781.0063795022098,781.0063795022098
1,base,z10,z16,844.6329208582684,844.6329208582684
1,base,z15,z10,871.9910815285282,871.9910815285282
1,base,z15,z15,258.63596137700017,258.63596137700017
1,base,z15,z16,245.59067388210372,245.59067388210372
1,base,z16,z10,966.4072709046379,966.4072709046379
1,base,z16,z15,306.7281514368989,306.7281514368989
1,base,z16,z16,305.17236937801624,305.17236937801624
1,vista_hermosa,z10,z10,309.90198629907553,309.901976632469
1,vista_hermosa,z10,z15,781.0063795022098,1403.6320591915805
1,vista_hermosa,z10,z16,844.6329208582684,1310.0203955830016
1,vista_hermosa,z15,z10,871.9910815285282,1207.342292501514
1,vista_hermosa,z15,z15,258.63596137700017,258.99536460218883
1,vista_hermosa,z15,z16,245.59067388210372,245.60820100003883
1,vista_hermosa,z16,z10,966.4072709046379,1207.3261431449387
1,vista_hermosa,z16,z15,306.7281514368989,306.73495733632717
1,vista_hermosa,z16,z16,305.17236937801624,306.60628050947344
1,reforma,z10,z10,309.90198629907553,309.92180577152766
1,reforma,z10,z15,781.0063795022098,769.6452088641296
1,reforma,z10,z16,844.6329208582684,836.2545426499272
1,reforma,z15,z10,871.9910815285282,859.7383170815956
1,reforma,z15,z15,258.63596137700017,258.63596137700017
1,reforma,z15,z16,245.59067388210372,245.59067388210372
1,reforma,z16,z10,966.4072709046379,956.3189344440569
1,reforma,z16,z15,306.7281514368989,306.7281513944969
1,reforma,z16,z16,305.17236937801624,305.1723692424523
2,base,z10,z10,306.5871118886582,306.5871118886582
2,base,z10,z15,787.4040933008314,787.4040933008314
2,base,z10,z16,825.7239298182401,825.7239298182401
2,base,z15,z10,865.8612349434137,865.8612349434137
