replica,escenario,fuente,metodo,demanda,vehiculos,comparables,p_sin_ruta,p_sin_ruta_base,aceptacion_nh,vc_max,mediana_base,mediana_escenario,p95_base,p95_escenario,red_total_base,red_total_escenario,libre_mediana_base,libre_mediana_escenario,libre_p95_base,libre_p95_escenario,libre_red_total_base,libre_red_total_escenario
0,base,pcg64,polar,1.0,5079,5079,0.0,0.0,0.7401632177207811,0.7218987054842302,651.7527787172303,651.7527787172303,1195.7782849125383,1195.7782849125383,3227867.315398057,3227867.315398057,587.8,587.8,861.3199999999994,861.3199999999994,2648484.0999999996,2648484.0999999996
0,vista_hermosa,pcg64,polar,1.0,5079,5079,0.0,0.0,0.7401632177207811,1.4001573382173027,651.7527787172303,1018.5770640426657,1195.7782849125383,1762.0519164612233,3227867.315398057,4594732.978196144,587.8,878.1,861.3199999999994,1193.4,2648484.0999999996,3615337.0999999996
0,reforma,pcg64,polar,1.0,5079,5079,0.0,0.0,0.7401632177207811,0.7218987054842302,651.7527787172303,648.6362034244539,1195.7782849125383,1228.3029300306655,3227867.315398057,3232047.787580367,587.8,587.8,861.3199999999994,868.4,2648484.0999999996,2669511.9000000004
1,base,pcg64,polar,1.0,5049,5049,0.0,0.0,0.7309975387288258,0.6606044503729556,650.4724578356158,650.4724578356158,1224.9875254784822,1224.9875254784822,3224961.3313024784,3224961.3313024784,590.3,590.3,862.4,862.4,2653251.6,2653251.6
1,vista_hermosa,pcg64,polar,1.0,5049,5049,0.0,0.0,0.7309975387288258,1.2954017500290447,650.4724578356158,1016.5744137112907,1224.9875254784822,1755.4489950380873,3224961.3313024784,4564457.255729939,590.3,866.7,862.4,1200.6,2653251.6,3603980.8
1,reforma,pcg64,polar,1.0,5049,5049,0.0,0.0,0.7309975387288258,0.6606044503729556,650.4724578356158,647.0727600311546,1224.9875254784822,1247.3883399045237,3224961.3313024784,3222688.316832269,590.3,590.3,862.4,873.4,2653251.6,2675191.7
2,base,pcg64,polar,1.0,5076,5076,0.0,0.0,0.7376834762389187,0.6241204086294773,654.8845257426401,654.8845257426401,1221.9619303053514,1221.9619303053514,3240482.9544282085,3240482.9544282085,590.3499999999999,590.3499999999999,859.925,859.925,2659622.8,2659622.8
2,vista_hermosa,pcg64,polar,1.0,5076,5076,0.0,0.0,0.7376834762389187,1.5011500057423959,654.8845257426401,1009.6089063357786,1221.9619303053514,1757.205642738886,3240482.9544282085,4585616.676213903,590.3499999999999,868.4000000000001,859.925,1199.3,2659622.8,3618335.4
2,reforma,pcg64,polar,1.0,5076,5076,0.0,0.0,0.7376834762389187,0.6898266379702006,654.8845257426401,650.133094274765,1221.9619303053514,1241.390863202313,3240482.9544282085,3239507.9091626788,590.3499999999999,590.3499999999999,859.925,868.4,2659622.8,2680316.0
3,base,pcg64,polar,1.0,5157,5157,0.0,0.0,0.7422279792746114,0.6794033351847415,658.5759985404367,658.5759985404367,1214.0152783065541,1214.0152783065541,3287124.496428134,3287124.496428134,589.7,589.7,868.1,868.1,2698522.7,2698522.7
3,vista_hermosa,pcg64,polar,1.0,5157,5157,0.0,0.0,0.7422279792746114,1.5858818403959745,658.5759985404367,1018.4136326564209,1214.0152783065541,1755.5703686228094,3287124.496428134,4658206.493922996,589.7,879.0,868.1,1184.5,2698522.7,3665649.9
3,reforma,pcg64,polar,1.0,5157,5157,0.0,0.0,0.7422279792746114,0.6794033351847415,658.5759985404367,652.3098737537301,1214.0152783065541,1232.0008109366338,3287124.496428134,3279541.959800427,589.7,589.7,868.1,879.1,2698522.7,2720695.2
4,base,pcg64,polar,1.0,5105,5105,0.0,0.0,0.7351670506912442,0.6759890996834764,660.3952781059743,660.3952781059743,1207.9955420065394,1207.9955420065394,3293446.431938402,3293446.431938402,592.4,592.4,862.4,862.4,2699501.5999999996,2699501.5999999996
4,vista_hermosa,pcg64,polar,1.0,5105,5105,0.0,0.0,0.7351670506912442,1.4136453840074386,660.3952781059743,1019.0519436874193,1207.9955420065394,1758.9028943146764,3293446.431938402,4685936.721938344,592.4,879.0,862.4,1200.6,2699501.5999999996,3697456.9000000004
4,reforma,pcg64,polar,1.0,5105,5105,0.0,0.0,0.7351670506912442,0.731625057728632,660.3952781059743,653.0205949226581,1207.9955420065394,1225.8670097797394,3293446.431938402,3292265.0629304824,592.4,592.4,862.4,868.4,2699501.5999999996,2720917.8000000003
5,base,pcg64,polar,1.0,4956,4956,0.0,0.0,0.7347664936990363,0.5875324300865487,658.3914002264121,658.3914002264121,1205.7654585820326,1205.7654585820326,3188482.4069085955,3188482.4069085955,597.1,597.1,862.4,862.4,2618709.9000000004,2618709.9000000004
5,vista_hermosa,pcg64,polar,1.0,4956,4956,0.0,0.0,0.7347664936990363,1.4143146508476414,658.3914002264121,1028.7286732118932,1205.7654585820326,1765.9534673861344,3188482.4069085955,4538470.742326055,597.1,881.7,862.4,1199.3,2618709.9000000004,3566023.1999999997
5,reforma,pcg64,polar,1.0,4956,4956,0.0,0.0,0.7347664936990363,0.7052625887018237,658.3914002264121,654.3560141184673,1205.7654585820326,1222.3170264914456,3188482.4069085955,3186683.2402826604,597.1,597.1,862.4,868.4,2618709.9000000004,2639435.1
6,base,pcg64,polar,1.0,5062,5062,0.0,0.0,0.7363980215304045,0.6346864755704238,645.9395858617604,645.9395858617604,1202.739817784606,1202.739817784606,3213165.9301153696,3213165.9301153696,586.3,586.3,862.4,862.4,2652410.3,2652410.3
6,vista_hermosa,pcg64,polar,1.0,5062,5062,0.0,0.0,0.7363980215304045,1.3399524131998313,645.9395858617604,1015.5209063959705,1202.739817784606,1789.115344131823,3213165.9301153696,4590944.583379485,586.3,878.6,862.4,1202.6,2652410.3,3642899.4000000004
6,reforma,pcg64,polar,1.0,5062,5062,0.0,0.0,0.7363980215304045,0.6346864755704238,645.9395858617604,638.4396242821731,1202.739817784606,1231.4357572765678,3213165.9301153696,3216590.237659678,586.3,587.4,862.4,869.5,2652410.3,2673588.5
7,base,pcg64,polar,1.0,5106,5106,0.0,0.0,0.74032187907786,0.6650883650953783,643.0102484304866,643.0102484304866,1190.7941027536808,1190.7941027536808,3233367.274781866,3233367.274781866,587.8,587.8,868.4,868.4,2673820.0,2673820.0
7,vista_hermosa,pcg64,polar,1.0,5106,5106,0.0,0.0,0.74032187907786,1.3138214561673318,643.0102484304866,999.3173328862777,1190.7941027536808,1769.6608156933348,3233367.274781866,4576140.030019587,587.8,870.1,868.4,1199.3,2673820.0,3630351.0999999996
7,reforma,pcg64,polar,1.0,5106,5106,0.0,0.0,0.74032187907786,0.6650883650953783,643.0102484304866,641.920004237234,1190.7941027536808,1212.9451122653559,3233367.274781866,3240506.5031947326,587.8,587.8,868.4,884.2,2673820.0,2696190.8
8,base,pcg64,polar,1.0,5357,5357,0.0,0.0,0.7525990446754707,0.7407616836000845,653.9530854464037,653.9530854464037,1209.728401524551,1209.728401524551,3420501.7835768005,3420501.7835768005,590.4,590.4,868.1,868.1,2816970.5999999996,2816970.5999999996
8,vista_hermosa,pcg64,polar,1.0,5357,5357,0.0,0.0,0.7525990446754707,1.8216214872374554,653.9530854464037,1025.15538218171,1209.728401524551,1765.6070237717474,3420501.7835768005,4860754.209590623,590.4,871.4,868.1,1200.6,2816970.5999999996,3830793.0
8,reforma,pcg64,polar,1.0,5357,5357,0.0,0.0,0.7525990446754707,0.7407616836000845,653.9530854464037,648.785897538614,1209.728401524551,1241.3918485573518,3420501.7835768005,3419868.4769598683,590.4,590.4,868.1,873.4,2816970.5999999996,2839307.7
9,base,pcg64,polar,1.0,5194,5194,0.0,0.0,0.7427427427427428,0.6930183913628547,648.1742114796173,648.1742114796173,1216.9798102526809,1216.9798102526809,3306450.2969259797,3306450.2969259797,590.3,590.3,861.2,861.2,2725126.3,2725126.3
9,vista_hermosa,pcg64,polar,1.0,5194,5194,0.0,0.0,0.7427427427427428,1.4020022446849716,648.1742114796173,1001.9441916329588,1216.9798102526809,1742.3963747222572,3306450.2969259797,4679831.986370627,590.3,865.6,861.2,1193.4,2725126.3,3705765.3000000003
9,reforma,pcg64,polar,1.0,5194,5194,0.0,0.0,0.7427427427427428,0.6930183913628547,648.1742114796173,645.4636858460192,1216.9798102526809,1234.158096762226,3306450.2969259797,3310655.808755148,590.3,590.3,861.2,873.4,2725126.3,2747653.8
10,base,pcg64,polar,1.0,5161,5161,0.0,0.0,0.7460248626770744,0.6568331193245167,648.9592505778157,648.9592505778157,1199.1434735343807,1199.1434735343807,3262162.1939491043,3262162.1939491043,586.3,586.3,861.2,861.2,2680781.5,2680781.5
